Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SN,Day,Accuracy,Condition,Block
1,2,2,2,0.942899096,0.456985228,0.3,1,1,1,7
1,1,1,4,0.627724998,0.429591573,0.3,1,1,1,7
1,2,1,4,0.948320595,0.286679591,0.255697168,1,0,1,7
1,2,2,4,1.024159229,0.469434016,0.3,1,1,1,7
1,1,1,4,0.608266734,0.332038014,0.3,1,1,1,7
1,2,2,4,0.902881882,0.337943452,0.255697168,1,1,1,7
1,1,1,4,0.609258558,0.473163833,0.255697168,1,1,1,7
1,1,1,4,0.770929912,0.387450683,0.214491089,1,1,1,7
1,1,2,3,1.920018407,0.452183059,0.214491089,1,0,1,7
1,1,1,4,1.021765165,0.389437802,0.252357189,1,1,1,7
1,2,2,4,0.898439604,0.269572145,0.252357189,1,1,1,7
1,1,1,4,0.68698901,0.339495543,0.211403502,1,1,1,7
1,1,1,4,0.658665251,0.28166482,0.211403502,1,1,1,7
1,1,1,4,1.018596657,0.400914397,0.17380964,1,1,1,7
1,1,1,4,0.669325548,0.291567179,0.17380964,1,1,1,7
1,2,2,4,0.788578581,0.212161905,0.139837235,1,1,1,7
1,1,1,4,0.791402037,0.296393986,0.139837235,1,1,1,7
1,1,1,4,0.936930171,0.291623331,0.109754635,1,1,1,7
1,1,1,4,0.869094254,0.337558241,0.109754635,1,1,1,7
1,1,2,3,1.311186316,0.282303456,0.083815584,1,0,1,7
1,1,1,1,0.764752404,0.380972736,0.109754635,1,1,1,7
1,1,2,2,0.425920137,0.280804916,0.109754635,1,0,1,7
1,1,1,3,1.322277461,0.729839073,0.135693686,1,1,1,7
1,1,1,3,0.931825886,0.222402703,0.135693686,1,1,1,7
1,1,1,2,1.057399752,0.311485979,0.106136985,1,1,1,7
1,2,2,2,2.104214291,0.25950024,0.106136985,1,1,1,7
1,1,1,1,1.318366913,0.337312077,0.080754,1,1,1,7
1,2,1,1,1.008174502,0.360567217,0.080754,1,0,1,7
1,2,1,1,1.030074514,0.365198578,0.101774767,1,0,1,7
1,1,2,1,0.091573023,0.391530228,0.122795533,1,0,1,7
1,2,1,2,2.451498749,1.041835642,0.147488498,1,0,1,7
1,1,1,3,1.045229738,0.251606727,0.175321553,1,1,1,7
1,1,1,2,2.972803981,0.19971311,0.175321553,1,1,1,7
1,1,1,1,1.195416796,0.381055751,0.14119123,1,1,1,7
1,1,1,3,1.352744222,0.499276526,0.14119123,1,1,1,7
1,2,1,2,3.226996143,0.409764471,0.110939507,1,0,1,7
1,1,1,3,1.062173731,0.332241902,0.14119123,1,1,1,7
1,1,1,1,1.626610421,0.313883202,0.14119123,1,1,1,7
1,1,1,1,0.776182921,0.249899407,0.3,1,1,3,8
1,2,2,2,1.357096146,0.308857796,0.3,1,1,3,8
1,1,1,3,0.853511107,0.339128568,0.255697168,1,1,3,8
1,1,2,3,1.025738681,0.329673243,0.255697168,1,0,3,8
1,1,1,3,0.649683861,0.351055543,0.296903247,1,1,3,8
1,2,2,3,0.957025532,0.166405282,0.296903247,1,1,3,8
1,1,1,4,0.875658789,0.202277001,0.252803093,1,1,3,8
1,1,1,4,0.909832664,0.264974942,0.252803093,1,1,3,8
1,1,1,4,1.451867688,0.27349882,0.21181554,1,1,3,8
1,2,2,3,0.834747513,0.352826725,0.21181554,1,1,3,8
1,2,2,4,1.423374421,0.230881619,0.17418515,1,1,3,8
1,1,1,4,0.825464424,0.216595277,0.17418515,1,1,3,8
1,1,1,4,1.197234704,0.348754356,0.140173415,1,1,3,8
1,1,1,4,0.843740015,0.31404782,0.140173415,1,1,3,8
1,1,1,4,0.619177945,0.287177105,0.110048702,1,1,3,8
1,1,1,4,0.70641331,0.275779469,0.110048702,1,1,3,8
1,2,2,3,0.918909824,0.560839187,0.08406507,1,1,3,8
1,2,2,3,1.367292419,0.783374228,0.08406507,1,1,3,8
1,2,2,2,3.885662488,0.562590136,0.062423065,1,1,3,8
1,1,1,3,2.088405644,0.53411373,0.062423065,1,1,3,8
1,2,1,1,1.53373179,0.271658946,0.04520578,1,0,3,8
1,2,2,2,1.45671118,0.359296982,0.062423065,1,1,3,8
1,2,2,2,1.221463617,0.195940059,0.062423065,1,1,3,8
1,2,1,1,1.975335048,0.298403603,0.04520578,1,0,3,8
1,1,1,2,1.225885756,0.346122615,0.062423065,1,1,3,8
1,2,2,2,2.024881264,0.312713371,0.062423065,1,1,3,8
1,1,2,2,1.639770583,0.342972254,0.04520578,1,0,3,8
1,1,2,2,1.189533268,0.231022121,0.062423065,1,0,3,8
1,2,1,1,2.089815903,0.215666221,0.07533626,1,0,3,8
1,2,1,1,1.306445295,0.293022922,0.092553545,1,0,3,8
1,2,2,2,1.3030594,0.241885114,0.112517842,1,1,3,8
1,1,1,2,1.012910436,0.365368912,0.112517842,1,1,3,8
1,1,2,3,2.571013085,0.212902782,0.08616345,1,0,3,8
1,2,2,2,1.720360164,0.323504791,0.112517842,1,1,3,8
1,2,2,3,2.213115336,0.201699901,0.112517842,1,1,3,8
1,2,2,4,1.134527181,0.562115696,0.3,1,1,2,9
1,2,2,4,0.632003418,0.190806244,0.3,1,1,2,9
1,2,2,4,0.883386592,0.237754219,0.255697168,1,1,2,9
1,2,2,4,0.737023068,0.243911763,0.255697168,1,1,2,9
1,1,1,4,0.646233932,0.477138,0.214491089,1,1,2,9
1,1,1,3,0.982407764,0.446022406,0.214491089,1,1,2,9
1,1,1,3,0.825762682,0.264346486,0.176624988,1,1,2,9
1,1,1,3,0.763048725,0.283329287,0.176624988,1,1,2,9
1,1,1,4,0.668154781,0.274428278,0.142359439,1,1,2,9
1,2,2,3,0.96263696,0.380729217,0.142359439,1,1,2,9
1,2,1,3,1.002050664,0.354069598,0.111962849,1,0,2,9
1,2,2,3,2.207825494,0.265221545,0.142359439,1,1,2,9
1,2,2,3,0.843619562,0.265373633,0.142359439,1,1,2,9
1,2,2,3,0.969965846,0.227073758,0.111962849,1,1,2,9
1,2,2,3,1.014193016,0.269369175,0.111962849,1,1,2,9
1,1,1,3,0.95916204,0.824535988,0.085691244,1,1,2,9
1,1,1,3,0.981531309,0.269457968,0.085691244,1,1,2,9
1,1,1,3,0.638792446,0.229080625,0.063750516,1,1,2,9
1,2,2,3,1.289518776,0.325487126,0.063750516,1,1,2,9
1,2,1,2,1.956582055,0.343526306,0.046234272,1,0,2,9
1,2,1,2,1.86175618,0.186872352,0.063750516,1,0,2,9
1,1,1,2,0.752025162,0.305891165,0.076946226,1,1,2,9
1,1,1,2,0.706868183,0.358071542,0.076946226,1,1,2,9
1,2,1,1,1.156343493,0.32610508,0.056662579,1,0,2,9
1,1,1,1,0.805985758,0.277811179,0.076946226,1,1,2,9
1,1,1,1,0.566697257,0.256616077,0.076946226,1,1,2,9
1,2,1,1,0.274684085,0.311547434,0.056662579,1,0,2,9
1,2,1,1,0.759004104,0.377314965,0.076946226,1,0,2,9
1,2,2,2,0.021815755,0.677496386,0.09281626,1,1,2,9
1,1,1,2,1.479712528,0.330932346,0.09281626,1,1,2,9
1,2,1,1,1.114420175,0.287129047,0.069613072,1,0,2,9
1,1,1,2,0.686776826,0.372476421,0.09281626,1,1,2,9
1,1,1,2,1.137488556,0.356140113,0.09281626,1,1,2,9
1,2,2,4,2.13619431,0.243476753,0.3,1,1,1,10
1,1,1,4,0.695328101,0.233704265,0.3,1,1,1,10
1,1,1,4,0.413310018,0.219875457,0.255697168,1,1,1,10
1,1,1,4,0.544704058,0.249286308,0.255697168,1,1,1,10
1,2,2,4,0.635248044,0.497472755,0.214491089,1,1,1,10
1,2,2,4,0.746242079,0.221025412,0.214491089,1,1,1,10
1,1,1,4,0.608378062,0.375580486,0.176624988,1,1,1,10
1,1,1,1,1.813618047,0.268571177,0.176624988,1,1,1,10
1,1,1,3,1.406270391,0.310370269,0.142359439,1,1,1,10
1,2,2,4,2.166898705,0.304740706,0.142359439,1,1,1,10
1,2,2,4,1.248583111,0.318105696,0.111962849,1,1,1,10
1,2,2,4,0.794269373,0.346432312,0.111962849,1,1,1,10
1,1,1,2,1.033254158,0.400460929,0.085691244,1,1,1,10
1,1,1,3,0.732076306,0.382532864,0.085691244,1,1,1,10
1,2,1,3,1.019942871,0.211131538,0.063750516,1,0,1,10
1,1,1,1,1.126250632,0.410795758,0.085691244,1,1,1,10
1,2,2,2,1.9105671,0.553437428,0.085691244,1,1,1,10
1,1,1,1,1.055469459,0.230240159,0.063750516,1,1,1,10
1,2,1,1,1.177178895,0.281512857,0.063750516,1,0,1,10
1,2,1,1,1.212290582,0.330412098,0.081266761,1,0,1,10
1,2,2,2,1.049617416,1.312599744,0.098783005,1,1,1,10
1,1,2,2,1.65722165,0.310622271,0.098783005,1,0,1,10
1,2,2,2,1.239929557,0.294547983,0.122989727,1,1,1,10
1,2,2,3,1.078545167,0.219584109,0.122989727,1,1,1,10
1,1,2,2,0.575289659,0.342300705,0.095129679,1,0,1,10
1,2,2,2,1.573224069,0.34195482,0.122989727,1,1,1,10
1,1,2,1,1.703017749,0.785733986,0.122989727,1,0,1,10
1,2,2,3,1.055327819,0.916773543,0.150849774,1,1,1,10
1,2,1,1,1.708881951,0.440406099,0.150849774,1,0,1,10
1,2,2,3,1.47538775,0.282236686,0.182271159,1,1,1,10
1,2,2,4,1.705396448,0.342942443,0.182271159,1,1,1,10
1,1,1,4,0.837939373,0.403941874,0.147429374,1,1,1,10
